Distance(fm),Vcoul,Sao Paulo,M3Y,RMF-L1
   3.4000000000000017      ,   14.283150823932047      ,  -9.7375102000568319      ,  -11.585206155056945      ,  -22.861729226119955     
   3.5000000000000018      ,   14.061098984096853      ,  -6.6926941502637600      ,  -8.4201795038855476      ,  -17.784109697565768     
   3.6000000000000019      ,   13.832610859049044      ,  -3.9860077520911936      ,  -5.5872182158336301      ,  -14.001427926690173     
   3.7000000000000020      ,   13.597686448788625      ,  -1.6035800987861979      ,  -3.0701077395715899      ,  -10.189403468560247     
   3.8000000000000020      ,   13.356325753315589      ,  0.47089154593833449      , -0.86329355031681487      ,  -6.7453646932994733     
   3.9000000000000021      ,   13.108528772629938      ,   2.2558299363809482      ,   1.0604647304927184      ,  -3.6842706256528039     
   4.0000000000000018      ,   12.854295506731676      ,   3.7714019229004894      ,   2.7157120538942809      ,  -1.0091824534650495     
   4.1000000000000014      ,   12.593625955620794      ,   5.0390719204766494      ,   4.1269632303785126      ,   1.2822294613835457     
   4.2000000000000011      ,   12.326520119297305      ,   6.0810946247785544      ,   5.3144996864489080      ,   3.1987647746004804     
   4.3000000000000007      ,   12.052977997761198      ,   6.9199764650115601      ,   6.2923773661155780      ,   4.7692560366262509     
   4.4000000000000004      ,   11.779363636363636      ,   7.5843092073050684      ,   7.0864861130638372      ,   6.0311166187824403     
   4.5000000000000000      ,   11.517600000000000      ,   8.1074771853426260      ,   7.7261413097831992      ,   7.0249658269802939     
   4.5999999999999996      ,   11.267217391304349      ,   8.5092913422532543      ,   8.2294762714150345      ,   7.7837087902538507     
   4.6999999999999993      ,   11.027489361702129      ,   8.8078082139688618      ,   8.6105236969578396      ,   8.3437115481472528     
   4.7999999999999989      ,   10.797750000000002      ,   9.0194383998562309      ,   8.8870391393927886      ,   8.7408479398191421     
   4.8999999999999986      ,   10.577387755102045      ,   9.1588358409636186      ,   9.0753204605144653      ,   9.0076483707239330     
   4.9999999999999982      ,   10.365840000000004      ,   9.2388781399470492      ,   9.1902831502704601      ,   9.1720938870561319     
   5.0999999999999979      ,   10.162588235294121      ,   9.2707188253821169      ,   9.2458681959211138      ,   9.2574271978792009     
   5.1999999999999975      ,   9.9671538461538507      ,   9.2638914703185353      ,   9.2543561209542826      ,   9.2824875133843836     
   5.2999999999999972      ,   9.7790943396226471      ,   9.2264471629623444      ,   9.2261656695632173      ,   9.2622699121862162     
   5.3999999999999968      ,   9.5980000000000061      ,   9.1651097637805243      ,   9.1699096563478157      ,   9.2085427063074761     
   5.4999999999999964      ,   9.4234909090909156      ,   9.0854367786531007      ,   9.0925735122747326      ,   9.1304370474473373     
   5.5999999999999961      ,   9.2552142857142918      ,   8.9919769712390121      ,   8.9997397033658348      ,   9.0349699322154731     
   5.6999999999999957      ,   9.0928421052631645      ,   8.8884187261278900      ,   8.8958161812804022      ,   8.9274879029531125     
   5.7999999999999954      ,   8.9360689655172489      ,   8.7777255328708890      ,   8.7842478232728620      ,   8.8120324795010507     
   5.8999999999999950      ,   8.7846101694915326      ,   8.6622567766361716      ,   8.6677018599090445      ,   8.6916348801684347     
   5.9999999999999947      ,   8.6382000000000083      ,   8.5438733431855756      ,   8.5482249950305000      ,   8.5685500498295166     
   6.0999999999999943      ,   8.4965901639344334      ,   8.4240284516457393      ,   8.4273734319815663      ,   8.4444402945875918     
   6.1999999999999940      ,   8.3595483870967815      ,   8.3038447029182691      ,   8.3063186565823166      ,   8.3205180297471504     
   6.2999999999999936      ,   8.2268571428571509      ,   8.1841786545400534      ,   8.1859324010340533      ,   8.1976559092322798     
   6.3999999999999932      ,   8.0983125000000094      ,   8.0656743737158045      ,   8.0668542129934799      ,   8.0764712627872264     
   6.4999999999999929      ,   7.9737230769230854      ,   7.9488074357850573      ,   7.9495447700867476      ,   7.9573904966379603     
   6.5999999999999925      ,   7.8529090909091002      ,   7.8339207697753883      ,   7.8343276790750389      ,   7.8406979913571906     
   6.6999999999999922      ,   7.7357014925373226      ,   7.7212536390492570      ,   7.7214220730798582      ,   7.7265730814436031     
   6.7999999999999918      ,   7.6219411764705978      ,   7.6109649072043162      ,   7.6109679175102887      ,   7.6151179206095270     
   6.8999999999999915      ,   7.5114782608695743      ,   7.5031515937568916      ,   7.5030455773623332      ,   7.5063784078587501     
   6.9999999999999911      ,   7.4041714285714377      ,   7.3978635814666358      ,   7.3976908924469180      ,   7.4003598502349588     
   7.0999999999999908      ,   7.2998873239436719      ,   7.2951152039778266      ,   7.2949067520505659      ,   7.2970386464015951     
   7.1999999999999904      ,   7.1985000000000099      ,   7.1948943222820310      ,   7.1946719519159075      ,   7.1963709705857317     
   7.2999999999999901      ,   7.0998904109589134      ,   7.0971693927995751      ,   7.0969479481086974      ,   7.0982992012119350     
   7.3999999999999897      ,   7.0039459459459561      ,   7.0018949387235274      ,   7.0016839879333332      ,   7.0027566579992282     
   7.4999999999999893      ,   6.9105600000000100      ,   6.9090157589189003      ,   6.9088209915986099      ,   6.9096710733551863     
   7.5999999999999890      ,   6.8196315789473783      ,   6.8184701438996127      ,   6.8182944745455583      ,   6.8189671189346672     
   7.6999999999999886      ,   6.7310649350649454      ,   6.7301923147769820      ,   6.7300367347377987      ,   6.7305682286195552     
   7.7999999999999883      ,   6.6447692307692412      ,   6.6441142570973026      ,   6.6439784780503945      ,   6.6443978989649262     
   7.8999999999999879      ,   6.5606582278481111      ,   6.5601670857274845      ,   6.5600500151294945      ,   6.5603806027277276     
   7.9999999999999876      ,   6.4786500000000098      ,   6.4782820480866530      ,   6.4781821322780813      ,   6.4784424168886945     
   8.0999999999999872      ,   6.3986666666666769      ,   6.3983912498812234      ,   6.3983067150958277      ,   6.3985114408704948     
   8.1999999999999869      ,   6.3206341463414732      ,   6.3204281690576867      ,   6.3203571852143332      ,   6.3205180613650942     
   8.2999999999999865      ,   6.2444819277108534      ,   6.2443280090669822      ,   6.2442687963046035      ,   6.2443951057301224     
   8.3999999999999861      ,   6.1701428571428671      ,   6.1700279310018118      ,   6.1699788246379157      ,   6.1700779150994531     
   8.4999999999999858      ,   6.0975529411764811      ,   6.0974671951129666      ,   6.0974266811109334      ,   6.0975043602717633     
   8.5999999999999854      ,   6.0266511627907082      ,   6.0265872351308492      ,   6.0265539652232798      ,   6.0266148174093477     
   8.6999999999999851      ,   5.9573793103448383      ,   5.9573316833051653      ,   5.9573044765731726      ,   5.9573521160838983     
   8.7999999999999847      ,   5.8896818181818285      ,   5.8896463597989044      ,   5.8896241956678592      ,   5.8896614688595630     
