r_fm,Vcoulomb_MeV,H_MeV,U_MeV
  3.11000000E+00,  1.48907040E+01,  5.70739461E-01,  1.43199645E+01
  3.12800000E+00,  1.48545694E+01,  5.70737773E-01,  1.42838316E+01
  3.14600000E+00,  1.48182262E+01,  5.70736077E-01,  1.42474902E+01
  3.16400000E+00,  1.47816746E+01,  5.70734372E-01,  1.42109402E+01
  3.18200000E+00,  1.47449144E+01,  5.70732658E-01,  1.41741817E+01
  3.20000000E+00,  1.47079456E+01,  5.70730935E-01,  1.41372147E+01
  3.21800000E+00,  1.46707684E+01,  5.70729203E-01,  1.41000392E+01
  3.23600000E+00,  1.46333826E+01,  5.70727463E-01,  1.40626551E+01
  3.25400000E+00,  1.45957882E+01,  5.70725714E-01,  1.40250625E+01
  3.27200000E+00,  1.45579854E+01,  5.70723956E-01,  1.39872614E+01
  3.29000000E+00,  1.45199739E+01,  5.70722189E-01,  1.39492517E+01
  3.30800000E+00,  1.44817540E+01,  5.70720413E-01,  1.39110336E+01
  3.32600000E+00,  1.44433255E+01,  5.70718629E-01,  1.38726069E+01
  3.34400000E+00,  1.44046885E+01,  5.70716836E-01,  1.38339716E+01
  3.36200000E+00,  1.43658429E+01,  5.70715034E-01,  1.37951279E+01
  3.38000000E+00,  1.43267888E+01,  5.70713223E-01,  1.37560756E+01
  3.39800000E+00,  1.42875262E+01,  5.70711404E-01,  1.37168148E+01
  3.41600000E+00,  1.42480550E+01,  5.70709575E-01,  1.36773455E+01
  3.43400000E+00,  1.42083753E+01,  5.70707738E-01,  1.36376676E+01
  3.45200000E+00,  1.41684871E+01,  5.70705892E-01,  1.35977812E+01
  3.47000000E+00,  1.41283903E+01,  5.70704037E-01,  1.35576863E+01
  3.48800000E+00,  1.40880850E+01,  5.70702174E-01,  1.35173829E+01
  3.50600000E+00,  1.40475712E+01,  5.70700302E-01,  1.34768709E+01
  3.52400000E+00,  1.40068488E+01,  5.70698420E-01,  1.34361504E+01
  3.54200000E+00,  1.39659179E+01,  5.70696531E-01,  1.33952214E+01
  3.56000000E+00,  1.39247785E+01,  5.70694632E-01,  1.33540838E+01
  3.57800000E+00,  1.38834305E+01,  5.70692724E-01,  1.33127378E+01
  3.59600000E+00,  1.38418740E+01,  5.70690808E-01,  1.32711832E+01
  3.61400000E+00,  1.38001089E+01,  5.70688883E-01,  1.32294200E+01
  3.63200000E+00,  1.37581353E+01,  5.70686949E-01,  1.31874484E+01
  3.65000000E+00,  1.37159532E+01,  5.70685006E-01,  1.31452682E+01
  3.66800000E+00,  1.36735625E+01,  5.70683055E-01,  1.31028795E+01
  3.68600000E+00,  1.36309633E+01,  5.70681094E-01,  1.30602822E+01
  3.70400000E+00,  1.35881556E+01,  5.70679125E-01,  1.30174765E+01
  3.72200000E+00,  1.35451393E+01,  5.70677147E-01,  1.29744622E+01
  3.74000000E+00,  1.35019145E+01,  5.70675161E-01,  1.29312394E+01
  3.75800000E+00,  1.34584812E+01,  5.70673165E-01,  1.28878080E+01
  3.77600000E+00,  1.34148393E+01,  5.70671161E-01,  1.28441681E+01
  3.79400000E+00,  1.33709889E+01,  5.70669148E-01,  1.28003198E+01
  3.81200000E+00,  1.33269300E+01,  5.70667126E-01,  1.27562628E+01
  3.83000000E+00,  1.32826625E+01,  5.70665095E-01,  1.27119974E+01
  3.84800000E+00,  1.32381865E+01,  5.70663056E-01,  1.26675234E+01
  3.86600000E+00,  1.31935019E+01,  5.70661008E-01,  1.26228409E+01
  3.88400000E+00,  1.31486088E+01,  5.70658951E-01,  1.25779499E+01
  3.90200000E+00,  1.31035072E+01,  5.70656885E-01,  1.25328503E+01
  3.92000000E+00,  1.30581970E+01,  5.70654810E-01,  1.24875422E+01
  3.93800000E+00,  1.30126783E+01,  5.70652727E-01,  1.24420256E+01
  3.95600000E+00,  1.29669511E+01,  5.70650634E-01,  1.23963005E+01
  3.97400000E+00,  1.29210153E+01,  5.70648533E-01,  1.23503668E+01
  3.99200000E+00,  1.28748710E+01,  5.70646424E-01,  1.23042246E+01
  4.01000000E+00,  1.28285182E+01,  5.70644305E-01,  1.22578739E+01
  4.02800000E+00,  1.27819568E+01,  5.70642178E-01,  1.22113146E+01
  4.04600000E+00,  1.27351869E+01,  5.70640041E-01,  1.21645469E+01
  4.06400000E+00,  1.26882085E+01,  5.70637896E-01,  1.21175706E+01
  4.08200000E+00,  1.26410215E+01,  5.70635743E-01,  1.20703857E+01
  4.10000000E+00,  1.25936260E+01,  5.70633580E-01,  1.20229924E+01
  4.11800000E+00,  1.25460219E+01,  5.70631408E-01,  1.19753905E+01
  4.13600000E+00,  1.24982093E+01,  5.70629228E-01,  1.19275801E+01
  4.15400000E+00,  1.24501882E+01,  5.70627039E-01,  1.18795612E+01
  4.17200000E+00,  1.24019585E+01,  5.70624842E-01,  1.18313337E+01
  4.19000000E+00,  1.23535203E+01,  5.70622635E-01,  1.17828977E+01
  4.20800000E+00,  1.23048736E+01,  5.70620420E-01,  1.17342532E+01
