r_fm,Vcoulomb_MeV,Vscreen_MeV,Vcoulomb_screened_MeV,Vnuclear_MeV,Vtotal_MeV
  2.31800000E+00,  1.62741757E+01,  1.43610169E+00,  1.48380741E+01, -1.03936912E+00,  1.37987049E+01
  2.33600000E+00,  1.62472167E+01,  1.43152542E+00,  1.48156913E+01, -9.88027559E-01,  1.38276637E+01
  2.35400000E+00,  1.62200492E+01,  1.42694915E+00,  1.47931000E+01, -9.39222033E-01,  1.38538780E+01
  2.37200000E+00,  1.61926731E+01,  1.42237288E+00,  1.47703002E+01, -8.92828094E-01,  1.38774721E+01
  2.39000000E+00,  1.61650884E+01,  1.41779661E+00,  1.47472918E+01, -8.48727283E-01,  1.38985645E+01
  2.40800000E+00,  1.61372953E+01,  1.41322034E+00,  1.47240749E+01, -8.06806857E-01,  1.39172681E+01
  2.42600000E+00,  1.61092936E+01,  1.40864407E+00,  1.47006495E+01, -7.66959522E-01,  1.39336900E+01
  2.44400000E+00,  1.60810833E+01,  1.40406780E+00,  1.46770155E+01, -7.29083184E-01,  1.39479324E+01
  2.46200000E+00,  1.60526646E+01,  1.39949153E+00,  1.46531730E+01, -6.93080704E-01,  1.39600923E+01
  2.48000000E+00,  1.60240372E+01,  1.39491525E+00,  1.46291220E+01, -6.58859666E-01,  1.39702623E+01
  2.49800000E+00,  1.59952014E+01,  1.39033898E+00,  1.46048624E+01, -6.26332158E-01,  1.39785303E+01
  2.51600000E+00,  1.59661570E+01,  1.38576271E+00,  1.45803943E+01, -5.95414553E-01,  1.39849798E+01
  2.53400000E+00,  1.59369041E+01,  1.38118644E+00,  1.45557177E+01, -5.66027311E-01,  1.39896904E+01
  2.55200000E+00,  1.59074427E+01,  1.37661017E+00,  1.45308325E+01, -5.38094784E-01,  1.39927377E+01
  2.57000000E+00,  1.58777727E+01,  1.37203390E+00,  1.45057388E+01, -5.11545030E-01,  1.39941937E+01
  2.58800000E+00,  1.58478941E+01,  1.36745763E+00,  1.44804365E+01, -4.86309634E-01,  1.39941269E+01
  2.60600000E+00,  1.58178071E+01,  1.36288136E+00,  1.44549257E+01, -4.62323541E-01,  1.39926022E+01
  2.62400000E+00,  1.57875115E+01,  1.35830508E+00,  1.44292064E+01, -4.39524894E-01,  1.39896815E+01
  2.64200000E+00,  1.57570074E+01,  1.35372881E+00,  1.44032785E+01, -4.17854881E-01,  1.39854237E+01
  2.66000000E+00,  1.57262947E+01,  1.34915254E+00,  1.43771422E+01, -3.97257585E-01,  1.39798846E+01
  2.67800000E+00,  1.56953735E+01,  1.34457627E+00,  1.43507972E+01, -3.77679845E-01,  1.39731174E+01
  2.69600000E+00,  1.56642438E+01,  1.34000000E+00,  1.43242438E+01, -3.59071125E-01,  1.39651726E+01
  2.71400000E+00,  1.56329055E+01,  1.33542373E+00,  1.42974818E+01, -3.41383383E-01,  1.39560984E+01
  2.73200000E+00,  1.56013587E+01,  1.33084746E+00,  1.42705112E+01, -3.24570949E-01,  1.39459403E+01
  2.75000000E+00,  1.55696033E+01,  1.32627119E+00,  1.42433321E+01, -3.08590414E-01,  1.39347417E+01
  2.76800000E+00,  1.55376395E+01,  1.32169492E+00,  1.42159445E+01, -2.93400515E-01,  1.39225440E+01
  2.78600000E+00,  1.55054670E+01,  1.31711864E+00,  1.41883484E+01, -2.78962032E-01,  1.39093864E+01
  2.80400000E+00,  1.54730861E+01,  1.31254237E+00,  1.41605437E+01, -2.65237687E-01,  1.38953060E+01
  2.82200000E+00,  1.54404966E+01,  1.30796610E+00,  1.41325305E+01, -2.52192051E-01,  1.38803384E+01
  2.84000000E+00,  1.54076986E+01,  1.30338983E+00,  1.41043087E+01, -2.39791448E-01,  1.38645173E+01
  2.85800000E+00,  1.53746920E+01,  1.29881356E+00,  1.40758785E+01, -2.28003876E-01,  1.38478746E+01
  2.87600000E+00,  1.53414769E+01,  1.29423729E+00,  1.40472396E+01, -2.16798918E-01,  1.38304407E+01
  2.89400000E+00,  1.53080533E+01,  1.28966102E+00,  1.40183923E+01, -2.06147667E-01,  1.38122446E+01
  2.91200000E+00,  1.52744211E+01,  1.28508475E+00,  1.39893364E+01, -1.96022653E-01,  1.37933137E+01
  2.93000000E+00,  1.52405804E+01,  1.28050847E+00,  1.39600720E+01, -1.86397768E-01,  1.37736742E+01
  2.94800000E+00,  1.52065312E+01,  1.27593220E+00,  1.39305990E+01, -1.77248202E-01,  1.37533508E+01
  2.96600000E+00,  1.51722734E+01,  1.27135593E+00,  1.39009175E+01, -1.68550377E-01,  1.37323671E+01
  2.98400000E+00,  1.51378071E+01,  1.26677966E+00,  1.38710275E+01, -1.60281887E-01,  1.37107456E+01
  3.00200000E+00,  1.51031323E+01,  1.26220339E+00,  1.38409289E+01, -1.52421439E-01,  1.36885074E+01
  3.02000000E+00,  1.50682489E+01,  1.25762712E+00,  1.38106218E+01, -1.44948800E-01,  1.36656730E+01
  3.03800000E+00,  1.50331570E+01,  1.25305085E+00,  1.37801061E+01, -1.37844742E-01,  1.36422614E+01
  3.05600000E+00,  1.49978565E+01,  1.24847458E+00,  1.37493820E+01, -1.31090992E-01,  1.36182910E+01
  3.07400000E+00,  1.49623475E+01,  1.24389831E+00,  1.37184492E+01, -1.24670186E-01,  1.35937791E+01
  3.09200000E+00,  1.49266300E+01,  1.23932203E+00,  1.36873080E+01, -1.18565825E-01,  1.35687422E+01
  3.11000000E+00,  1.48907040E+01,  1.23474576E+00,  1.36559582E+01, -1.12762229E-01,  1.35431960E+01
  3.12800000E+00,  1.48545694E+01,  1.23016949E+00,  1.36243999E+01, -1.07244497E-01,  1.35171554E+01
  3.14600000E+00,  1.48182262E+01,  1.22559322E+00,  1.35926330E+01, -1.01998471E-01,  1.34906346E+01
  3.16400000E+00,  1.47816746E+01,  1.22101695E+00,  1.35606576E+01, -9.70106961E-02,  1.34636469E+01
  3.18200000E+00,  1.47449144E+01,  1.21644068E+00,  1.35284737E+01, -9.22683853E-02,  1.34362053E+01
  3.20000000E+00,  1.47079456E+01,  1.21186441E+00,  1.34960812E+01, -8.77593888E-02,  1.34083219E+01
  3.21800000E+00,  1.46707684E+01,  1.20728814E+00,  1.34634802E+01, -8.34721605E-02,  1.33800081E+01
  3.23600000E+00,  1.46333826E+01,  1.20271186E+00,  1.34306707E+01, -7.93957281E-02,  1.33512750E+01
  3.25400000E+00,  1.45957882E+01,  1.19813559E+00,  1.33976526E+01, -7.55196648E-02,  1.33221330E+01
  3.27200000E+00,  1.45579854E+01,  1.19355932E+00,  1.33644260E+01, -7.18340621E-02,  1.32925920E+01
  3.29000000E+00,  1.45199739E+01,  1.18898305E+00,  1.33309909E+01, -6.83295038E-02,  1.32626614E+01
  3.30800000E+00,  1.44817540E+01,  1.18440678E+00,  1.32973472E+01, -6.49970417E-02,  1.32323502E+01
  3.32600000E+00,  1.44433255E+01,  1.17983051E+00,  1.32634950E+01, -6.18281720E-02,  1.32016668E+01
  3.34400000E+00,  1.44046885E+01,  1.17525424E+00,  1.32294342E+01, -5.88148135E-02,  1.31706194E+01
  3.36200000E+00,  1.43658429E+01,  1.17067797E+00,  1.31951650E+01, -5.59492863E-02,  1.31392157E+01
  3.38000000E+00,  1.43267888E+01,  1.16610169E+00,  1.31606871E+01, -5.32242917E-02,  1.31074629E+01
  3.39800000E+00,  1.42875262E+01,  1.16152542E+00,  1.31260008E+01, -5.06328936E-02,  1.30753679E+01
  3.41600000E+00,  1.42480550E+01,  1.15694915E+00,  1.30911059E+01, -4.81684999E-02,  1.30429374E+01
  3.43400000E+00,  1.42083753E+01,  1.15237288E+00,  1.30560025E+01, -4.58248460E-02,  1.30101776E+01
  3.45200000E+00,  1.41684871E+01,  1.14779661E+00,  1.30206905E+01, -4.35959778E-02,  1.29770945E+01
  3.47000000E+00,  1.41283903E+01,  1.14322034E+00,  1.29851700E+01, -4.14762367E-02,  1.29436938E+01
  3.48800000E+00,  1.40880850E+01,  1.13864407E+00,  1.29494410E+01, -3.94602446E-02,  1.29099807E+01
  3.50600000E+00,  1.40475712E+01,  1.13406780E+00,  1.29135034E+01, -3.75428903E-02,  1.28759605E+01
  3.52400000E+00,  1.40068488E+01,  1.12949153E+00,  1.28773573E+01, -3.57193156E-02,  1.28416380E+01
  3.54200000E+00,  1.39659179E+01,  1.12491525E+00,  1.28410027E+01, -3.39849034E-02,  1.28070178E+01
  3.56000000E+00,  1.39247785E+01,  1.12033898E+00,  1.28044395E+01, -3.23352651E-02,  1.27721042E+01
  3.57800000E+00,  1.38834305E+01,  1.11576271E+00,  1.27676678E+01, -3.07662296E-02,  1.27369015E+01
  3.59600000E+00,  1.38418740E+01,  1.11118644E+00,  1.27306875E+01, -2.92738322E-02,  1.27014137E+01
  3.61400000E+00,  1.38001089E+01,  1.10661017E+00,  1.26934987E+01, -2.78543045E-02,  1.26656444E+01
  3.63200000E+00,  1.37581353E+01,  1.10203390E+00,  1.26561014E+01, -2.65040647E-02,  1.26295974E+01
  3.65000000E+00,  1.37159532E+01,  1.09745763E+00,  1.26184956E+01, -2.52197082E-02,  1.25932759E+01
  3.66800000E+00,  1.36735625E+01,  1.09288136E+00,  1.25806812E+01, -2.39979985E-02,  1.25566832E+01
  3.68600000E+00,  1.36309633E+01,  1.08830508E+00,  1.25426582E+01, -2.28358594E-02,  1.25198224E+01
  3.70400000E+00,  1.35881556E+01,  1.08372881E+00,  1.25044268E+01, -2.17303668E-02,  1.24826964E+01
  3.72200000E+00,  1.35451393E+01,  1.07915254E+00,  1.24659868E+01, -2.06787408E-02,  1.24453080E+01
  3.74000000E+00,  1.35019145E+01,  1.07457627E+00,  1.24273383E+01, -1.96783392E-02,  1.24076599E+01
  3.75800000E+00,  1.34584812E+01,  1.07000000E+00,  1.23884812E+01, -1.87266498E-02,  1.23697545E+01
