Radius(fm),Sao Paulo,M3Y,RMF
   2.4007999999999963      ,  -75.736148341710361      ,  -78.553100536283409      ,  -118.39415768817801     
   2.4331199999999962      ,  -73.555040891053352      ,  -76.348006098311103      ,  -113.41599368677372     
   2.4654399999999961      ,  -71.402888054775531      ,  -74.165350218907548      ,  -111.30643749650889     
   2.4977599999999960      ,  -69.280482119023446      ,  -72.012528090692925      ,  -108.76755448607840     
   2.5300799999999959      ,  -67.188576966680941      ,  -69.896187029174655      ,  -105.08794487930506     
   2.5623999999999958      ,  -65.127888135196301      ,  -67.813775975084980      ,  -102.17097044171732     
   2.5947199999999957      ,  -63.099092953565957      ,  -65.753796610556492      ,  -99.390265184686356     
   2.6270399999999956      ,  -61.102830615778906      ,  -63.723400982234963      ,  -96.496422722014600     
   2.6593599999999955      ,  -59.139702107421130      ,  -61.728315191558913      ,  -93.395247938440718     
   2.6916799999999954      ,  -57.210269978774619      ,  -59.774339244843858      ,  -89.233345792838065     
   2.7239999999999953      ,  -55.315058083484054      ,  -57.847596801694948      ,  -87.619103569171003     
   2.7563199999999952      ,  -53.454551370799315      ,  -55.950068107131401      ,  -85.203902520636248     
   2.7886399999999951      ,  -51.629195560381007      ,  -54.090028165870173      ,  -82.296276875044938     
   2.8209599999999950      ,  -49.839396850769134      ,  -52.268180194639072      ,  -79.372825815688813     
   2.8532799999999949      ,  -48.085521722189959      ,  -50.479629390392532      ,  -76.889655871417389     
   2.8855999999999948      ,  -46.367896729247732      ,  -48.726171138906352      ,  -74.424011485854535     
   2.9179199999999947      ,  -44.686808230441727      ,  -47.009445026950765      ,  -71.695491822430824     
   2.9502399999999946      ,  -43.042502186513069      ,  -45.333178441237067      ,  -67.746847938786104     
   2.9825599999999945      ,  -41.435184089121080      ,  -43.698902678832717      ,  -66.210996694415897     
   3.0148799999999945      ,  -39.865019053505030      ,  -42.103157258626915      ,  -64.097957664181976     
   3.0471999999999944      ,  -38.332131911690574      ,  -40.540305381575330      ,  -61.495657832617233     
   3.0795199999999943      ,  -36.836607433887984      ,  -39.012690768718414      ,  -58.740100673846612     
   3.1118399999999942      ,  -35.378490702173565      ,  -37.524461506056028      ,  -56.311727716466073     
   3.1441599999999941      ,  -33.957787605652307      ,  -36.073121982271893      ,  -54.017118214751896     
   3.1764799999999940      ,  -32.574465379027629      ,  -34.659309515495288      ,  -51.576789157839229     
   3.2087999999999939      ,  -31.228453190031516      ,  -33.278574670346742      ,  -48.814630326485513     
   3.2411199999999938      ,  -29.919642815407947      ,  -31.937101512925064      ,  -46.450741425448548     
   3.2734399999999937      ,  -28.647889429730320      ,  -30.634433191888299      ,  -44.889877438461163     
   3.3057599999999936      ,  -27.413012367487255      ,  -29.365437630051542      ,  -42.732978213460903     
   3.3380799999999935      ,  -26.214795831035502      ,  -28.131808077525680      ,  -40.149757337440477     
   3.3703999999999934      ,  -25.052989680672475      ,  -26.935952485973676      ,  -38.455953674334445     
   3.4027199999999933      ,  -23.927310313156713      ,  -25.771520151659495      ,  -37.016445510141054     
   3.4350399999999932      ,  -22.837441465497822      ,  -24.642675991540017      ,  -35.372817336118302     
   3.4673599999999931      ,  -21.783034942760196      ,  -23.550364806942333      ,  -33.582194933057913     
   3.4996799999999930      ,  -20.763711396451050      ,  -22.491561179583922      ,  -31.859026872267442     
